n_digits,multiplicand,multiplier,product
48,560792557879986039125077796761153429928833483354,359345504669056897650318861685218544128061676509,201518284726034883742935135538745948211817141108608061987368093706162321357538189013007584331186
49,5661161746049805044887666428529083048097065840707,2019616440900072339029763430697020842848188044735,11433375336916746421842936704832641937338808912523141140008057539431800847676915253213829300027645
50,60541110107232765255441880633078900745308748511129,28589498437265903924155550992856279517302496871390,1730839972801074163415890034952344057319923589319373328521547592363948754199428244888905843096699310
51,361021886809206401083939183257760998526362506389358,428259435964524315893529404797334262843614558933820,154611029615759074523832193534872660090233807937342911854395034837280715210279378403114260790274287560
52,2192492600277988997103185396135354605073393400060724,9263369438590926030695804254369514100533312361892272,20309868947751874529478112744397137264288928945233380644886217299954965693473673510854649135668346324928
53,77937387575446327019302252611006277996248369139690657,52843663945028328681824845971991754926776255697526894,4118497117790311901847466287997433206552434738433689514336799284063467710511124621206125531523411098029358
54,402607558912612798912883433744559140170438349565654999,115227000317260024968841985375892656317559857188272367,46391261318554919173594876610130338551774666202154964292470760702930182905566699560545969094074431567112633
55,1807582159327708703793683800170381572830026635271017825,3357728710827888148463977928564024544973420284053891260,6069370513554917660327273922355383416457638204393580652027604155682015710406498033835167289388877892071709500
56,22604517782321337384307049267789975526518912189029863610,70071864694608389649509624281041011435897545314700407759,1583940711529690053073207983222514351123521569328228574546226795887097120178842520383335572996650814695155749990
57,891302197083430402351527889861297985524424690694542934544,932022729903259567769642671510645061072602027987498067139,830713906894471881570951253417414093107463797878736361350368433733642469145816262261695525406251788005248994349616
58,8496571823634295055737655894618473437524356865828944951626,5864105440633683895966182098229566521814738334486892565221,49824793057708730942473359883296534317558093794787143174016209117562481331257359643371514246083176557173180894999346
59,90460966154944026405955690032236885975535231748088487734988,35031789074260427217555101854995174568863202106242251259803,3169009485793810433042804344304389535794315154593227426056292108584027823767297376907039098000566809575649957001087364
60,279323276195651481179612529245104798137012571939260482651265,428810506865725478488394418314755730555251353357899398469078,119776755644852343581705454614508308389270895431333357330711575457335353675671913156489056826004520937746616119560083670
61,6038597056126201257480003848742308940757047878527877360760242,9924659095834730581744694712281433360573880797597945870890420,59931017199163730411431381860329986892477404685150958635725433636665129684805036668830606686371360724604753323668674681640
62,87119377995129582460634741184601921589752737546508751571118992,71575898763473745154285539572761743621458804688746055924029774,6235647779716197284438415573014541088117252199062022167059771945368201239316925593581745742397010168570621878859787104867808
63,340843239073270184244451791631428545576805987406461175691866767,423453217437719887106577747495485255414193208980882576707471523,144331166227470222356687940005187018067454829648227544410041368922845345010518129524684380344657543174913300670847352362576141
64,1113056651405731859217578366821837340050325714416467113796348249,5849211698128940613040422159859479018927763630588910972940168887,6510503986082633142167723041982949211754994432116973939033372860807340260753384007749890481991613925938635668219103105926728863
65,60745393311200080730380937026109461917205800292040027089328078063,57112927841973089920748205001040996543877806110288097476441511280,3469347264914844997830635261541716959921306236263888489953266057880787828765857668320598410587868420533028376927325183073535050640
66,922572722794515679526204442832281678729207349098079783585343602622,915776810279318240919907237196868309151194869841199467311941115043,844870705331467244543143141861532909131870410819719793072286994904339767417160424601440923969331962921092902117274414228193378442746
67,6853487577459106416141106684782075270977802933434222501477988019248,1420575312631290689387407606083276632993402825536356899287242318314,9735895257963637161833047839234529539624732383137314975090874803078779441138934068950740253231721463975750039313651162041112374907872
68,78590357341811422847314435167933455727921196745582865809137018334251,91911711508975164708789526418759391864953086630887097978004268820601,7223374251387839785812256653452136477502157142505936217093812605999731259034792258068587453293694878092606400346711652882374965372704851
69,328933392498768124138182657641319422992026123100451412645447788316885,806516078158600205677125242882354108644190143774363708544447363373140,265290069693509991015723397112119970706623073207869967854274846814400297949490232332385370386613039182833699444158490027412634356817468900
70,8140617378762266283764583695709994607963797444578748059565504936196514,4114034693274277399209387868082912513428306890972043812239313226598453,33490782320899472253317338722327157492120225595603073660868746728794946801372286140120373541899485866881770703343082906762635060875776392842
71,95829488562525869152206474322047747880190462704313307230686219581336768,26264033670231217086660869890659449142856196596525332775834007948230443,2516868914207216742821193580279510348497749609958408571425494574297935851809368851455496828894432939791175701687692958626040321475614052828224
72,991110743870642090091138723926828391209496532262233555706364894745530200,292384871784219994975285791002199651855520475052886409291883945183069322,289785787770580590776654676512528273233202023579831384581712192376664857099794042962220587058091355096186093431148331415700378258304576244524400
73,9797090090834771061440987592788364018777440865166220474541366466527712256,3261511711821426531789119846974929366135998997914354281463726248661667225,31953324073027249317833640689742738075016222621284224783117611762719832644530135191366208266545693681156185082636043795853650626113942242026009600
74,97761168531104127007209615200454803384172074922158388696824383512597401736,26885488480381691660299562124826401684514163028977529547830603033884206764,2628356770371653151062253425657982683845269072425178586851855072946762196935291292375581314161048866901604975343200294699360954403809767111796542304
75,449640211461892010164553637728547074009860769409677483715904908083853084035,965824722525848068209626287116207393630077820623904593019841113750413173064,434273632471645500897804968649832362832440742129857398618534831297526488370467839155626602100451730829884398694339807849325206870032387928906590433240
76,6600383007511952197605532740530568516489972903512505522518230314870065169766,8980794823367094435394173498623612265382972124455051704653931030115399134577,59276685546103474280407138342367769674647772724677913142938926395676635599576080577410500721648268962504462478904342901452810577937776973774586985598982
77,22193163701506047448250870305606222358833429427439337150908358052805547863912,98577874675071600552617270619609698947089764336310496179946124570266599805432,2187754910010411296893631225083490209019650698748555949212637171577831534219767408902425838139402042805358289631185107702710191737546708960089102414369984
78,376403545108211570184014528075648712571560820886575816299160441416193179894044,103844655450819058498693923808794219839595183047342096804765812239160433704549,39087496452229059994021884163616369723276289240487061540066493208783315548404126115491923423828621267693531011261794729974008745841477578171945862220806156
79,5048555282276264927653413606732900703743007293011185130154234325093136053927191,2458396092704530200354873552010271982650129407325722200786821725633008203083677,12411348579750786227024566871526032449377261658282333132740976700958583761055597341235496058623566507733918922411730733510762309054925173776255613332238561307
80,66067092459033360135935324843258101739126977182615672374026918330277797766211436,33086555652104121578392759109387871561053732706592511940144805918233998595623218,2185932531418515810208837316705209348534757991370095677192356458471729215210580336391230772626023032400641302451457920009636311582161494997024931065195178721048
81,535501387173586887182327152518050941240602083427459541219067273438566514817568407,147882751081930306238004964326173133251211792409505704162161273266169366719920435,79191418343419936056057615231667265896193121653926637035148069762338966482058460633173498193732650803866948218685350579620126556507014629680650676717755209697045
82,1697652548375005952976355247424106518095100988521764469047081833406581547537583611,1284790085732651595259468402639434546786820167431849327892960461305323881998145577,2181127163170978357963247425874463692975274390534442372921166576556713089692497015363540365398477125994615143369623462640359655855224938913595906836968613587338547
83,91997749506716127553555095326061649166585821025730960475648764314249103999399720708,28571892142211801213490195093115564980200036076885627276078197035860622207372702584,2628549776232112136055979985159134587653631087013980970442040490284222585111234488675552338730801832877373454653233362303975499036974600315257244171163572912749909472
84,965015527438486498651203291389364385412342497203337508349311098442904115732948529763,331679123204906849467690291781757488619216491566649175621033958856053033786593400797,320075504019917929734793493952030997740635424941026382355638019364190980422766169484069897716791322552363401621915910609349407942472636311709898617874977469439342421111
85,6446445720503253216669884506619915165541367734578748666070440190703084135635776209550,4202832827830291882113818107527106334556184339142668793805866105276780936798137579742,27093333696957171129534748579296164192529388052285737171613455245200349771098146570994036735252357162008075208056171095047268122915898458436067898467115617117779626936100
86,65362564840583375666535609650702442608676478111797762930499358599949991567536915089242,13668788487548714154809702857364588813555787268391052808960119568303693762091833533855,893427073809622400197032999730473480942704387579988973615154050843060063946290937519164492422213446985370169157831365518635931474385983242129566256706834519214165553287910
87,557780888368113972294730106983641082388559894258470347234539996282720273817293809570400,682028953764740722824499682828546882402003368046976756307895715205477101001751741288509,380422715723672410857168828781925699576645646599071664722122369602420427380248993178913736736185595483159154518526984737371032973546742480974074974480170964424281771746533600
88,4178498815800111247889411127862971644993545514333980602832573623598420196926964506362789,4143535261745642398471275488390646305211094312466163203789740019725693217996912989287764,17313757184430170762375066146524970201986178360385413003408677595302218106647702375221544945911656509276889750150659204059920556123775391803718722837824908785741514575302613796
89,62416064529646589272170396587876027208678915857826985915549516493304385344969021868023270,96278476098329344620066957262129329604313944685053359113689992028532967818258435689452036,6009323576969361152686471887940934576411229919287029452237083579189124806992211161484788882727901928055174017138455942877372127990622394127477875232002119169041937619616796877720
90,554533475963239035082326618222838420180897077090767683755402116268858362657574640459343591,761504347266943258765200413595076811040117996504315657487842950254014318421590739090091339,422279652651055510583298184067539532288806335997611885741194323739057347534607620935954512647094418712423774650105115075606068095039853567244954264640849507618399836029588174258349
91,1356103403655993282398032090147884397046529755895031427396391588851642553858719840873573292,9235967102465915725943080921798622156007368444591462558034462351913362285475840386595648434,12524926423708810383129485062883910601805800907241310649851682514320021579409604557471932747889661935734750254200869442608564614664074325205050323160664574176939042925643835364024728
92,65649488298012104337872279613462567520893092800237472182575806505262431812324491343461887154,17361776604607859838978882123183367506179296532927688655274943232547882434088910968533438222,1139791750036904020187953499289078437689649355018111644244028349377239936769899342646884686830562402567341248822216308292277181788204745127090122216858860572984284043279605480194400188
93,516467122417157188393410777110079011269366724724369482169066162556614894150227558211064727725,691856375893324214313773932164748579187750256798131596494167355471224438548924843864196461494,357321071583588196519259899407949825821076524227597452289759077460530138649015543938873479391977026094509488300836148458155394726173877064850970954450947851602225940169414673139556721150
94,4607879351277829728120550068369663312712391479944468587851903041707480810601033135000573289556,3413059918339611742406652544220968732519678274579335231122469437848452224163619238566667756960,15726968322391092662364186452071460224085513109165321925317983125183870837086487388359474634274323517540027108940841696970711237351675901606266523416032791727859139813717812634787114309760
95,18124231677272677964294056800862516958430788572856854067875995396329765562618722499361241328766,41180141143490252642232986347871495982542095784624130329259956696068749181860549998114133968236,746358418587405956335440893688452474753145451928583611793028917216839546846687376058036273432771732533411073141563789707604704063574882016459407746199611696925137410114093090574909077076776
96,541365984975600872596081595119943318070557976159567213692956656313827102193773537055403582554582,484667712583911850296719439715149825341192741560979620421172329279599446200732111628981850123804,262382613608860864721155488994086109701966206029161058851407528072876029627827237725899898825142640188831985963895881847189291944678041592502895822945233895478065422865254416017897471287469928
97,2607227458648036481849994707631915309073037083563293036243775324394689245526680946332627514091734,5010829633240506111345214364116452259285869736446608786802348552049553429125804421396093855847724,13064372610391917457990925083175172541715025777177802911574131771785383529167143144023012592543803863369979461901560047130109806818594674168796332400030172362135625437664559640556070450471113416
98,88734529197774346371155300631073597365364583745172229604066226562857610543721287305047561371422611,64699279936937302896628695146516171733827563683720558146392081374618002940380046578397134420065808,5741060144639139075274859970703297351660786994713095327663725319910446270469247776379750632183380427836567223613354579079010325405363502710863067459411412992470459117135127135000051113101199184688
99,123974622971227594472417519768716553640258525910099851821651864823600808840714735448077630967465937,935764527085033923319591215015655267243218340000644736367238923470138822911565798989866648115944950,116011054435216173134140193803211365027069671327724782568769861888698523100475746130332892067309117509021022063907631863589240008247188323796040711529391361372995888305423474559818631010465692168150
100,9666943901754464549398800932623040907247387676732403733946825822215681773127634156051376944411534329,5463451275019479740813826926781744438051159420338792714263356274236588318801703767700822092065818821,52814876985582213641023161199008409256719478958450099164797963949208260850956016848771684635141076860237753914594662672863211083967058560305155976914206104835259028842076104142808186287345996335806109
101,99089588613164337673490066620427184047992558841879441475130796351703607152490051325351674226692359969,53268536003438776100939703357838164778465378225119745532512444241834254648950585793560533727564362429,5278357318606281504451358348323143939113488658044938474653979481920532807139974895734518623093762107418876723964460760065076245730235881824969625032510043713013909568347126984461171978641971370847204701
102,870906062690979191073132397052428645957497784579933876948528947748006153073222308189204763656464227626,318598231487847355117435555443971090716828069484344198106278311145273706446946803750088302465936684475,277469131365390289173244691266397681684557831495557785904144318189846797539140747099650364502149098752613109486457690484810889383874835013168783620971744441197184691281708860978252066696751173500140306350
103,9470133360306086790539850505503890803670070589436797851083729492372088804382451895952427002128806228313,2966121926097894707267887815352244301835265556237770316824303826475525918234321916813609893624035599492,28089570203075018033774243094800549063441621041648560540433760441527364002609562412948436753937587346976508956599880923860901524529129867778595438931550899251411197804181022572889207929291455396606378816996
104,95300128287544875666492475166304420023922927123359585762435811594059773899220101294116028732327422562845,87672465836957547648940965632441210377751827184551512266679867564297722232376734568214362538753695658712,8355197241547449709972940267843623132189798116418932553741221685236758006283246159524122683278296035887722029636858041870551856845826252936250467449357293745835946055444608177289636798698953777974633491755640
105,261746637899164762420220491694694264829889106181443965793941444936175977233148906226263879661454372707183,676452538391151426812458681887082235773184212887501333333630403921046215590157145928068834472617401312738,177059177622239562496947443572035119770339301149653522959267892580346625995725955212784499682603423654273502711557983391211882632617836574134922895314668755076124294326553455294390076254388941140081103081997054
106,1019202586598009508233116652135901462243305123985080459253084142802472604973472953861976762458614547352049,4329572976301823282523499313650957138445828950206681976943324508253177768467517525241947254842808750004379,4412711976311660812480603664340655123359940147540154126080423080635637001056930479039355398691179944274805629191222199226382621315209333431691139098416074597268329378420987782728476296759676451848500731604622571
107,18166850866762855803591854090487719864498787351929686200121810963252792159964629748861312417409784821545371,13647837290139088300215136949830822268429911749787716298842243199987861357125182494150960771232734531293943,247938224703801721430473755196770852884537799359716046033403712248218326875194590101824345978652620433205487904296633098195266796530976489327686636886238078865726739475068578763264907319743878805005994705511987853
108,341696353393360856492418350485507364404322559988434455157680874409051707573513381240192101362114494691975290,333845844253806262194959490030040623694711778516386672545843277762688607082660821757702496093966195250247531,114073907577053493392691165225075322252579407669119603653756283584552498110667359159416501047918441103269458398769541448840583277765507661315820609321236261820471204879600245649959533873525955447344271300971835508990
109,1525865881384885791734297714148776280203110838036187217727454362944671322793923937044399556439820521910027124,6422787513353244653156558461070228123272977552977601836796085737939798712474569057920476121731311340105766027,9800312330010587574115396327394200946382923537007044125876054239165267172169228230785860691214392466861174529815479165338536396818678459088549235471961291679491686996753634728963616701834385027029380684276180367716348
110,68394608194827592059110273495712141894628136310921601920004837462460186469600066486902291640822398382704295657,84634331284927892950279692573251914350675048328942059133754176624054358321496450524177617766356645845799088812,5788531928063882516375868810423638374487897512890424163981291291902679623566722362728734993313265801956579583747485654663588250175617256845687004475549859945319137834351683216524401295283830854668350198346492128848889484
111,873479014538951916173353894741433140053601824939299720208484943223126772176156566454082290443889296815855260827,160453868739524931350535312577978333422295978782765757839036878789802582001727650225799632349527398878866261864,140153087145562579879078042956261121423623066930189360693497194300546608602729469393994645608709631863025563108501793258643072581399652732165212510826263331975214767597861318587843052156151331160305659462909195104203201528
112,3558027226580614955391294587892664453897150051069940420646426745861825987701130840145282059223642896653956134012,8465946716881922312255390788388104005051795089933600650441120755475048107431890106376391878577541413320292466618,30122068917446648689589028085701705797289131752515229630046247633866039187738653953606473608592394935707833899614300611038166867815136419202414810080052724950147722852674026958029901140390800447418093686197907906674844411416
113,53420050385711071044103633263869829185137974694688025371862549632661146057547949803329852415812792590885724879301,38832008946843933786565559093145448662636737283891011473962350800072329344201814923196132817219060015664841403954,2074407874518786046756409947193988666079853536360423119780239873411010755468310721954985527490576330301062386832604882563629743122681082474948805399550389455299504168831436369120027478422335200927201492420424722646464034156154
114,561715757688213404099189091552395962513944934211859362549708853106177557415610883411549458602894413956905090906482,928721878771494107911320597946687307283246942627250291937040400744171089807159464892128885693741680548691751625456,521677713815750888497171516177088298708424321588042935580186042092719438454426430604715573655656596401410065449289200088321669774129383280228436449902274242890865118571580893988604188888132406928439140650567015881816367986605792
115,4213945278966609272921715898468995914278095063114879002106959773972798817636576718277711187567970040345688152765258,3783984382355186031326435864860575829583604862064163107679245050567578392482170715455219475067430880921589887781250,15945503123709017088095069069239243873960141284205854433438404353984012535155839425977914114489587326180894160760456472450536122899886825074265472171499608914226114855775345947886212379398185192998980935130560031281727093703812500
116,31649136117861548048374709398032419657271751918148217630919145937172107648374365110458014030386613091101701856583593,90450441105759845351410382649025222703624641857787512714985985185943094145771286387244270951506465787507732988034932,2862678322476812739248955885043849898216383387867440123572463481723450432606446838988563181144418315422467023461461265128468768965796602957380282156783835375358119414977548378263461424176607706356594206995362024059390794920062070676
117,831756704336882671282392196706920272009610523610799629635916928923826867179861490139510268905213283876815636184251500,752378650531726237028993964222783286890756683121209712146610204386925266988429518840784417285160693769804868649842398,625795986779699791948528136967985199554337589683674028302153991867757121857220640520217161457544999219429973410309100910032289119302601344371718323377478889403381376747344979495198783630667363890399654039757595407859258171564595097000
118,2157397351728023593397353830477064566142774738682497164766512396894545068977700006606936782873407703315725635473930202,1582642028583314589757802731773384121883207896896716231909642053170737734082124508969624267536982055011107407016620347,3414387721199109915454037604924830940487729777847630686096529363370283163436145594224424645835540571195115395759213938532515765229673547115231671116458175143436605084294066518167539632875590156773202052466580031648101261578443411020094
119,78920155266701835751526843520892482237010441998011136106534019004244951157366110660495663085421216904505504659349351860,97585241361838164074135182718855339093526041783218365426387188084983939103855546429956501358327584786806918425772050102,7701442400014842007104245857614988779234137128339580091367879420975127000184980126639419689712657690480364306158622905934446147795715483489189950648924574458746446477565652509369573148419255574950201431988828655936741619454162857146889720
120,524098664757653620505925821645068529560176847092300911965107814008548119854755218660307262911523469298633921910529494309,283060094775827341674546301152408795386864002363729393387535918820905124880497292793541185031824023857922545250986693564,148351417718185994893957324179207394874987074027416711095379431217090456838675141505717338534191372641760076208388590442803275666802190860177365281782149000367860512343944217050462119076166200445148133247013476131105324513868018116864927276
121,7130030868800600424174046414460011771530392080420458844409960841994270229322090548008429955791351410661119104475653132987,3180218644267079034575001171307505678086666673245540451072739513082303769076551097888565304274048156206278451921128273517,22675057103159469148281831909114492779018132014254600763346363549614875242287760769075379580906349925108059209407473290603396247289908903265386477048406276364932746674699597743177614099193700031724591055822866218974125722618881086267311205279
122,74028225413538776149193732240917905890902601311273517864682822876803181187687937871982633712602495589685660272315948929918,41726868492063259153957214237575879416226988305220025207187783733442316914775948498150919549486609846777408863360209327340,3088966026531547791628647446107612377929227089664799161291276706038034029750441743041581235430892688418085389773765981318595884825173922258567108900049035757605710817017749786585068289294394345802688283812434635984663335736308251233555581358120
123,963379298481903135136391181123926295851164934512924765207455175763753193808016445700018665792668061337300100067930353043621,431535968945644752571128298212202232628833915686686705570065042849100778742893261226285713734062729198803169895907312675393,415732819032563578248383826361886546067279933826271137767605941890474889183832864122482381228720259177587602420354428408979190251161271056984901422206313977689860086041483883557952115913665329045389348486475108087674698043276518650193789942318053
124,6387482668909204744006727037774138681987303503101270929472351662052513647615729172222466020210942450560585376752247446046420,6232311040077158165929447675616111490024662213342051893543246924549506791842330463218943702532655853676697514155405017072135,39808778755744347931332666461098971940195437886829545308678309418509553479466243054739835450333563882256406699586320752749454742133812674548699166111838595020837008629217624375044900654238331641136598165690664004072327024043787892953852409698506700
125,88103222937689893522883416133665719609452034019294057644555124119463337524983020883043475861995849054950531632976293764926137,71726154242563746654977931178920436871198149521113440782562904995043291279750573436620899901256622023517480068904453988216449,6319305357695725555210790278824465644887692533445287418403488535295055018891924687687486609922246266658568796845279037924375586474496007742577436288085213788901188941400079275208544958391593531764576453417455222727971272637653216310380944208853427513
126,159892811675022071371550504623707694016618615182128692556650495515812694492151654863298024360913937247733011495145903851972064,249878031309589886050425635884761513216775022965295892473616112024866294291027892833842758399993860752869331912096891122712005,39953701001909524422616758337946066468122393955731410134341769316324041542606259322936936573394785497011257232288133421906491445071979319519775923708033743695836778464068913094591667490054195088116269159978124710462326854910894395229422465739177428320
127,5674377962353114272610840201485153668226752533779583085699373783169622835318477838287382030449869379773211563106697917953572097,3499357355617566425413937573059787862839087293086127631054631135402963802727223615972155830015731829976090133807533272603704351,19856676261114588851674254323109898833998481530582035766780696127004600625956152105574805410799945378609217871348060709269760487129647190860086304644034315345289602413301231312430253592433560193961494392329875696404583549846157677479130889523874951094047
128,22973567644130722084760813838642530404252497233257578729546350406380914014045229314725864143437317719857932593665210696011361740,64341915111630323697969259332630553033439778092417253304641827590129094578500738467684918686003097438767918408667413908018681784,1478163339169955961877808632683850736459646088632464405219284061883930345662323793672082796818954541183428374116920593339882494431028412296997332642566450766655584168919785020817340808622093031919672909272600056007078147271271698962666105832453841572544160
129,676786953705624489491507173048725883863219463450591927798207067679371527778974398604045148228784826370775673593105280716373908627,758212479290740951712201001425165153812981374394684472950715453818765718794585830089631383319607462989345675286503259076150974938,513148314120769463447239687427839392127742189591807807128534820733528308350116302504877763356214278620403126404213565333957241009984214269726528461202705459633661954039156170876242425971793361229509804051632751628928462201325527727246350631759595091778990126
130,9969358826888344808344003755000413365045461799495778674016272324679209739651931608263667008128177143381020565759056988861649721033,6581777101736183655872655468665162128866401165993646358206756673131203204709985444763051892936526660180880963122600219084551933311,65616097645805209971235787102596117576477409198236191849368326621804992814061357648694286291376450812299861249549596189166385929095150439128740545037559227716446479470054975600851887245716970827737458583615319137935964454853539096228487895413383245223970030263
131,73117699612974641814669474840070852930905163375405719881302238939206275352877527031489081512512992557829406257623340756276089881226,92818431372037945891204799077648340880390468997683891603574844890681098529650606688543312332717228839365505138420121198564526954453,6786670183608172268325839308690966286085286282698095756255318999938625251102190575936043780748896594173398868886823575324292301296850736791116349983863956537866679635770419033724691276486809578299925747498024413016066638992992220982214509992315595019804281799378
132,970073537097337341028538340071913970717516137770480936938419449637622838467159518455214124189640618756587845607911715327164769405483,894072892735836741847863529318121333259465534928171830506260406171012644589449302802150890299168387345351544136773776169631908259256,867316453479101432883512809902482793375743411824744504555008605299134423079652593530470347864501139699392549500656194950316628816738060091443264733234623719667613037494648964440718580170295945432305989754905305053579674449269178879339668933748747299536408551900648
133,7564019245589581627991072611133795172787024555894873411393067510634212990286504088565094465621443650214257418940547681116992407070792,2750364622205119314482224843629788200828451689941223168835153446481767024872615442481201454087181938390396310353256241919572506742740,20803810934748241283793501548493230078653086781544893855873375889025855318147308380021041578681829320525667275616758686337686130421464988038834022968833195860719648753141606328743544027480105523894554652030657612275786780698328510395376006033774438767259272512050080
134,58913682192023815309356361256565386136051035247102492388339970067229740992596665595767904609499847338366798367480252128970301831653567,40576848945961952124071874224651706335182853492583289518000322703281414912189946959418375970562623334762941894592965551613309268828868,2390531583156158979371844176106851882170174946033513358806162238434883516342067978427964393181448466219470905759833386237207445539980269200098623015346942612955873920320534094665924036430944099466972257510592072716632377121598018919937514009503629016281544957984772156
135,974954217567534981996358414088329579427664090638706353381806795831430486587855430207052776807203903232688448441046070421819704668934079,162174105992963830107580692976667269145198033690613605039648230914808987767754159148727522977597286941409775248849994035850765395590231,158112328618084536816849608792519180705234962555922981110788818940434993082325408831041865002290708577229468524862293980517428423859201364928010138290327015883154929929826584905008832375162060270113928308256342943061583787877811646114871859356529810808877055845835382249
136,3112343878596009542857527969400749930761820008553181906594808291860300327976271999101561727394765524266148862000897441357593021896685521,4886774820527027981047692715005226643589854618279467493189590912206612518387897987639052504583984909189724825351717520477098340248120941,15209323698744408697178478681942392382575183911683120475734730203723458590508517282404665396280960639905202512996857924629564404801306758472054873683329101356403478314386493232785469912513817332305960783282906913561657132644510340802906250263545802658531659174356251595261
137,59011594665901376233470073205199935151966909652588620976871717921129234977833755877016423648498636913764860405539768465938446781321607577,66435359383549289874758584111053679323218411779896677614207907608084913440863685390022626649834099894236074579985894636447271581252648488,3920456499425498217148216523691978607250319659032022068502337989956485935432122875511396764619099862947616191790285593290721991140974997245979943806959073192900776620153017598884571100793627838748279454295551434461172413775044474104115567344846051416761742795740033058393576
138,309396905613354843179273538552408074729900792733324414411787012232984329881012750739984395996684911233552056574700786010866315072681058508,326940624791377608522391978308360473951238020168630087153622310748633559199285943751262993325151211688873827857383752116324169401631237318,101154417629749118410978824817286476970413948362963381780459024769188207144946441486814139892111978769094160954841578261182811044909736837024076306442138607911004571896207766272378321620465452824363019458894676933783604907918495694876614867771411013744264711606480149991001544
139,1102562382050911405405372617486746714368016216664466810197484607897286600649283398246734608922017776517197877758439931567352835657314691771,9224770670430398238082384015546738653585251423371356693957219613269568165244917933856678459280202661063166096574766596816823575072832252486,10170885124263122885962589393817577742963537537251319352111956748834513207828259525625169316985435732060057390567208261374355768721247087185661212094315705023233365713178755910578786289228680794367678600311155837852359220146477535014268515046141227380146389652908728822738492706
